iter	Passed	Remaining
398	100200	150175
399	100347	149769
400	100489	149356
401	100647	148967
402	100796	148567
403	100930	148148
404	101081	147754
405	101231	147358
406	101391	146980
407	101533	146576
408	101678	146178
409	101814	145768
410	101969	145386
411	102123	145004
412	102307	144666
413	102451	144273
414	102608	143899
415	102753	143509
416	102939	143177
417	103103	142815
418	103252	142433
419	103414	142071
420	103572	141704
421	103717	141321
422	103867	140945
423	104031	140589
424	104178	140212
425	104357	139878
426	104511	139511
427	104676	139160
428	104831	138797
429	104962	138404
430	105118	138044
431	105270	137679
432	105423	137318
433	105567	136945
434	105704	136565
435	105851	136198
436	106014	135854
437	106159	135487
438	106328	135150
439	106466	134776
440	106609	134409
441	106757	134051
442	106941	133736
443	107103	133396
444	107391	133213
445	107627	132966
446	107773	132607
447	107938	132272
448	108121	131961
449	108290	131633
450	108529	131390
451	108704	131070
452	108907	130785
453	109072	130454
454	109286	130182
455	109448	129849
456	109600	129505
457	109757	129169
458	109924	128844
459	110097	128526
460	110303	128248
461	110462	127916
462	110643	127610
463	110844	127327
464	111006	127000
465	111216	126729
466	111431	126463
467	111592	126137
468	111780	125842
469	111953	125530
470	112146	125242
471	112338	124952
472	112485	124613
473	112658	124305
474	112804	123966
475	112965	123645
476	113142	123341
477	113280	122996
478	113428	122663
479	113600	122356
480	113780	122060
481	113931	121732
482	114079	121401
483	114230	121074
484	114384	120752
485	114538	120430
486	114704	120121
487	114885	119829
488	115110	119582
489	115380	119383
490	115679	119213
491	116005	119070
492	116317	118912
493	116542	118665
494	116825	118477
495	117204	118385
496	117508	118218
497	117770	118007
498	118036	117799
499	118261	117552
500	118502	117320
501	118871	117213
502	119184	117052
503	119510	116902
504	119713	116632
505	119974	116417
506	120269	116236
507	120502	115995
508	120848	115862
509	121380	115906
510	121793	115834
511	122296	115847
512	122840	115896
513	123160	115732
514	123478	115566
515	123684	115294
516	123903	115036
517	124092	114749
518	124287	114468
519	124539	114240
520	124748	113973
521	124957	113706
522	125170	113442
523	125403	113198
524	125650	112965
525	125867	112706
526	126026	112395
527	126198	112096
528	126382	111808
529	126567	111522
530	126722	111210
531	126865	110888
532	127013	110571
533	127192	110281
534	127347	109971
535	127495	109655
536	127664	109358
537	127808	109040
538	127959	108730
539	128108	108417
540	128317	108156
541	128544	107911
542	128764	107659
543	128996	107417
544	129294	107231
545	129653	107094
546	129901	106865
547	130139	106628
548	130378	106392
549	130543	106095
550	130705	105797
551	130856	105491
552	131023	105197
553	131192	104906
554	131347	104604
555	131505	104305
556	131681	104021
557	131847	103729
558	131999	103427
559	132155	103128
560	132302	102823
561	132456	102523
562	132598	102216
563	132741	101909
564	132900	101616
565	133060	101323
566	133205	101020
567	133382	100741
568	133549	100455
569	133701	100158
570	133859	99866
571	134016	99574
572	134177	99286
573	134344	99002
574	134492	98705
575	134632	98403
576	134780	98106
